CodigoDepartamento,NombreDepartamento,CodigoMunicipio,municipio,nombrecomercial,bandera,direccion,producto,precio,estado,fecharegistro,periodo
15,MAGDALENA,709,SAN SEBASTIAN DE BUENAVISTA,ESTACION DE SERVICIO GASOLINERA EL MANGO DE SAN SEBASTIAN,PETROMIL,CARRERA 2 NO 8SN - 1 SAN SEBASTIÁN,GASOLINA CORRIENTE OXIGENADA,10050,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1076,ZARZAL,INVERSIONES LA VARIANTE SA,BIOMAX,CARRERA 8. VARIANTE ZARZAL LA VICTORIA,GASOLINA CORRIENTE OXIGENADA,9010,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,183,CARTAGENA DE INDIAS,ESTACION DE SERVICIO ESSO SAN FELIPE,MOBIL,Carrera 17 N° 32 - 30,GASOLINA EXTRA OXIGENADA,12470,A,07/12/2019 12:00:00 AM,07/01/2019 12:00:00 AM
5,BOYACA,324,SOCHA,ESTACION DE SERVICIO AUTOMOTRIZ SAN SALVADOR,BIOMAX,Calle 7 No. 4-12,GASOLINA CORRIENTE OXIGENADA,10140,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,72,CONCEPCION,ESTACION DE SERVICIO LA CONCHA,TEXACO,PREDIO 149 VEREDA 11 SANTA GERTRUDIS,BIODIESEL EXTRA,9392,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,849,VILLA DEL ROSARIO,ESTACION DE SERVICIOS LA GRAN VIA ORIENTAL,TERPEL,ANILLO VIAL SECTOR BOCONO LOTE 1B-01,GASOLINA CORRIENTE OXIGENADA,7390,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,118,RIONEGRO,ESTACION DE SERVICIOS TUR,TERPEL,KILOMETRO 4 VEREDA BARRO BLANCO VIA AL AEROPUERTO JMC,GASOLINA CORRIENTE OXIGENADA,9745,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
12,CHOCO,634,UNION PANAMERICANA,ESTACION DE SERVICIO PANAMERICANA CG,PETROMIL,CORREGIMIENTO LA Y,GASOLINA CORRIENTE OXIGENADA,9900,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,897,CONFINES,ESTACION DE SERVICIO AUTOMOTRIZ EL TREN,TERPEL,KILOMETRO 11 VIA SOCORRO RAMAL DE CONFINES,GASOLINA CORRIENTE OXIGENADA,9375,A,07/22/2019 12:00:00 AM,07/01/2019 12:00:00 AM
8,CAUCA,417,PATIA,ESTACION DE SERVICIO SERVICENTRO EL BORDO,TERPEL,CARRERA 7 N° 2-21 SALIDA SUR EL BORDO,GASOLINA CORRIENTE OXIGENADA,10090,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,810,SAN JOSE DE CUCUTA,ESTACION DE SERVICIO BOGOTA,COOMULPINORT,CALLE 2 No 1-54 LA MERCED,BIODIESEL EXTRA,6602,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,999,COELLO,EDS LA MONEDA,TERPEL,VEREDA CHAGUALA - VARIANTE GUALANDAY,GASOLINA CORRIENTE OXIGENADA,9474,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
8,CAUCA,414,MORALES,ESTACIÓN DE SERVICIO BRISAS DEL LAGO SALVAJINA,PETROMIL,Vereda Cañaveral,BIODIESEL EXTRA,9240,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,876,BUCARAMANGA,ESTACION DE SERVICIO AUTOMOTRIZ INVERSIONES PLANEY,TERPEL,CARRERA 21 No. 30-17 y CALLE 30 No. 21-10,GASOLINA CORRIENTE OXIGENADA,9110,A,07/17/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,962,ZAPATOCA,ESTACION DE SERVICIO EL CIPRES,TERPEL,Carrera 11 No. 9-50,GASOLINA CORRIENTE OXIGENADA,9546,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
13,HUILA,645,GARZON,ESTACION DE SERVICIO ZULUAGA,BIOMAX,CALLE 4 No. 2-15,BIODIESEL EXTRA,9600,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",SERVICENTRO ESSO CARRERA 30,MOBIL,Carrera 30 No. 9-67,GASOLINA CORRIENTE OXIGENADA,9680,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION LOS LAGARTOS,MOBIL,AVENIDA CARRERA 72 No.  95-31,BIODIESEL EXTRA,8670,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,82,FRONTINO,SERVICENTRO NUTIBARA,ZEUSS,Carrera 30 No 29 - 50,GASOLINA CORRIENTE OXIGENADA,10130,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,146,TURBO,ESTACION DE SERVICIO AUTOMOTRIZ PALMA DE MAYORCA,PETROMIL,KILOMETRO 2 VIA TURBO - NECOCLI,GASOLINA CORRIENTE OXIGENADA,9700,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,999,COELLO,JABARANDA,TERPEL,DIAGONAL 3 No. 1E-96,BIODIESEL EXTRA,8780,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
